MovieKey,Title,OriginalLanguage,Status
4464,Seabiscuit,en,Released
4474,My Super Ex-Girlfriend,en,Released
4476,Legends of the Fall,en,Released
4477,The Devil's Own,en,Released
4512,The Assassination of Jesse James by the Coward Robert Ford,en,Released
4513,30 Days of Night,en,Released
4515,Lions for Lambs,en,Released
4517,Elizabeth: The Golden Age,en,Released
4518,Elizabeth,en,Released
4523,Enchanted,en,Released
4547,Panic Room,en,Released
4550,Sympathy for Lady Vengeance,ko,Released
4551,Be Cool,en,Released
4553,The Machinist,en,Released
4566,Michael Clayton,en,Released
4584,Sense and Sensibility,en,Released
4597,Armored,en,Released
4599,Raising Helen,en,Released
4614,The Sum of All Fears,en,Released
4638,Hot Fuzz,en,Released
4657,Jindabyne,en,Released
4688,Across the Universe,en,Released
4723,Southland Tales,en,Released
4806,Runaway Bride,en,Released
4816,Ghost Dog: The Way of the Samurai,en,Released
4824,The Jackal,en,Released
4836,Layer Cake,en,Released
4858,The Invasion,en,Released
4911,Dark Blue,en,Released
4912,Confessions of a Dangerous Mind,en,Released
4922,The Curious Case of Benjamin Button,en,Released
4929,Hang 'em High,en,Released
4935,Howl's Moving Castle,ja,Released
4942,Leatherheads,en,Released
4944,Burn After Reading,en,Released
4951,10 Things I Hate About You,en,Released
4953,Be Kind Rewind,en,Released
4958,The Legend of Bagger Vance,en,Released
4959,The International,en,Released
4960,"Synecdoche, New York",en,Released
4964,Knocked Up,en,Released
4965,Impostor,en,Released
4967,Keeping the Faith,en,Released
4970,Gothika,en,Released
4982,American Gangster,en,Released
4995,Boogie Nights,en,Released
4997,Wonderland,en,Released
5038,Vicky Cristina Barcelona,en,Released
5072,Severance,en,Released
5123,August Rush,en,Released
5125,Rendition,en,Released
5126,Martian Child,en,Released
5137,Sky Captain and the World of Tomorrow,en,Released
5172,The Astronaut Farmer,en,Released
5174,Rush Hour 3,en,Released
5175,Rush Hour 2,en,Released
5176,3:10 to Yuma,en,Released
5178,The Good Heart,en,Released
5236,Kiss Kiss Bang Bang,en,Released
5255,The Polar Express,en,Released
5279,Gosford Park,en,Released
5353,The Hunting Party,en,Released
5393,Happily N'Ever After,en,Released
5491,Battlefield Earth,en,Released
5494,George and the Dragon,en,Released
5503,The Fugitive,en,Released
5516,The Ladykillers,en,Released
5528,The Chorus,fr,Released
5550,RoboCop 3,en,Released
5551,Space Cowboys,en,Released
5559,Bee Movie,en,Released
5689,The Blue Lagoon,en,Released
5708,Control,en,Released
5722,Beyond the Valley of the Dolls,en,Released
5723,Once,en,Released
5759,Baghead,en,Released
5769,Tom Jones,en,Released
5780,Torn Curtain,en,Released
5820,The Sentinel,en,Released
5822,Sweet Sweetback's Baadasssss Song,en,Released
5852,Angel Eyes,en,Released
5854,Family Plot,en,Released
5876,The Mist,en,Released
5900,The Dress,nl,Released
5902,A Bridge Too Far,en,Released
5915,Into the Wild,en,Released
5925,The Great Escape,en,Released
5955,The Pledge,en,Released
5966,Along Came Polly,en,Released
5971,We're No Angels,en,Released
5994,The Family Man,en,Released
6007,Elling,en,Released
6016,The Good Thief,en,Released
6020,Sorority Boys,en,Released
6023,P.S. I Love You,en,Released
6038,Shanghai Knights,en,Released
6068,Six Days Seven Nights,en,Released
6071,Kiss of Death,en,Released
6073,The Mexican,en,Released
6106,Salvador,en,Released
6114,Dracula,en,Released
6116,Spice World,en,Released
6171,Dreamcatcher,en,Released
6217,Cat People,en,Released
6278,Reign of Fire,en,Released
6282,Coyote Ugly,en,Released
6415,Three Kings,en,Released
6435,Practical Magic,en,Released
6439,Racing Stripes,en,Released
6440,The Shipping News,en,Released
6466,Freddy vs. Jason,en,Released
6477,Alvin and the Chipmunks,en,Released
6478,Beyond the Sea,en,Released
6479,I Am Legend,en,Released
6488,Arachnophobia,en,Released
6519,The Dukes of Hazzard,en,Released
6520,First Knight,en,Released
6521,The Contender,en,Released
6537,The Orphanage,es,Released
6538,Charlie Wilson's War,en,Released
6552,Idle Hands,en,Released
6557,27 Dresses,en,Released
6575,Walk Hard: The Dewey Cox Story,en,Released
6615,Lars and the Real Girl,en,Released
6623,The Peacemaker,en,Released
6639,Love in the Time of Cholera,en,Released
6687,Transsiberian,en,Released
6795,Zathura: A Space Adventure,en,Released
6877,Failure to Launch,en,Released
6933,One Missed Call,en,Released
6947,The Village,en,Released
6950,Outbreak,en,Released
6957,The 40 Year Old Virgin,en,Released
6961,The Wedding Date,en,Released
6963,The Weather Man,en,Released
6964,Something's Gotta Give,en,Released
6968,The Baader Meinhof Complex,de,Released
6972,Australia,en,Released
6973,In the Valley of Elah,en,Released
6977,No Country for Old Men,en,Released
6978,Big Trouble in Little China,en,Released
7006,White Noise 2: The Light,en,Released
7191,Cloverfield,en,Released
7214,Coach Carter,en,Released
7220,The Punisher,en,Released
7278,Meet the Spartans,en,Released
7288,Duplex,en,Released
7299,Equilibrium,en,Released
7301,Lonesome Jim,en,Released
7303,Maid in Manhattan,en,Released
7304,Running Scared,en,Released
7305,Alive,en,Released
7326,Juno,en,Released
7341,The Rage: Carrie 2,en,Released
7345,There Will Be Blood,en,Released
7347,Elite Squad,pt,Released
7350,The Bucket List,en,Released
7364,Sahara,en,Released
7443,Chicken Run,en,Released
7445,Brothers,en,Released
7446,Tropic Thunder,en,Released
7450,Titan A.E.,en,Released
7451,xXx,en,Released
7453,The Hitchhiker's Guide to the Galaxy,en,Released
7459,Speed Racer,en,Released
7461,Vantage Point,en,Released
7484,Open Season,en,Released
7485,Shooter,en,Released
7501,Knockaround Guys,en,Released
7504,Earth,hi,Released
7509,Water,en,Released
7510,Running with Scissors,en,Released
7512,Idiocracy,en,Released
7515,London,en,Released
7516,Smokin' Aces,en,Released
7518,Over the Hedge,en,Released
7547,Come Early Morning,en,Released
7548,The Libertine,en,Released
7552,Fun with Dick and Jane,en,Released
7553,Waiting...,en,Released
7735,The Wave,de,Released
7737,Resident Evil: Extinction,en,Released
7859,Half Nelson,en,Released
7863,Shine,en,Released
7870,Down in the Valley,en,Released
7873,Harsh Times,en,Released
7874,Black Snake Moan,en,Released
7913,Rang De Basanti,hi,Released
7942,"Run, Fatboy, Run",en,Released
7944,Shine a Light,en,Released
7973,Caramel,ar,Released
7978,The Wolfman,en,Released
7979,The Kite Runner,en,Released
7980,The Lovely Bones,en,Released
8007,Behind Enemy Lines,en,Released
8009,Highlander,en,Released
8011,Highlander: The Final Dimension,en,Released
8012,Get Shorty,en,Released
8046,Gigli,en,Released
8051,Punch-Drunk Love,en,Released
8053,The Three Burials of Melquiades Estrada,en,Released
8054,The Imaginarium of Doctor Parnassus,en,Released
8055,The Reader,en,Released
8060,Married Life,en,Released
8065,21,en,Released
8068,Desperado,en,Released
8069,Barbarella,en,Released
8077,Alien³,en,Released
8078,Alien: Resurrection,en,Released
8080,Suspect Zero,en,Released
8090,Untraceable,en,Released
8095,Cleopatra,en,Released
8141,You Kill Me,en,Released
8193,Napoleon Dynamite,en,Released
8195,Ronin,en,Released
8197,Midnight in the Garden of Good and Evil,en,Released
8198,The Quiet American,en,Released
8202,Æon Flux,en,Released
8204,The Spiderwick Chronicles,en,Released
8224,8MM,en,Released
8247,Jumper,en,Released
8265,Welcome to the Sticks,fr,Released
8271,Disturbia,en,Released
8272,The Savages,en,Released
8273,American Wedding,en,Released
8285,The Spirit,en,Released
8291,Poetic Justice,en,Released
8292,Four Brothers,en,Released
8293,Howards End,en,Released
8321,In Bruges,en,Released
8326,Holes,en,Released
8328,Step Up 2: The Streets,en,Released
8329,[REC],es,Released
8337,They Live,en,Released
8338,Blindness,en,Released
8346,My Big Fat Greek Wedding,en,Released
8355,Ice Age: Dawn of the Dinosaurs,en,Released
8357,What the #$*! Do We (K)now!?,en,Released
8358,Cast Away,en,Released
8359,Kit Kittredge: An American Girl,en,Released
8363,Superbad,en,Released
8367,Robin Hood: Prince of Thieves,en,Released
8373,Transformers: Revenge of the Fallen,en,Released
8374,The Boondock Saints,en,Released
8386,How High,en,Released
8390,"Definitely, Maybe",en,Released
8408,Day of the Dead,en,Released
8409,A Man Apart,en,Released
8413,Event Horizon,en,Released
8416,The Conformist,it,Released
8427,I Spy,en,Released
8435,A Cock and Bull Story,en,Released
8452,The 6th Day,en,Released
8456,Never Back Down,en,Released
8457,Drillbit Taylor,en,Released
8461,Funny Games,en,Released
8467,Dumb and Dumber,en,Released
8469,Animal House,en,Released
8470,John Q,en,Released
8487,Wild Wild West,en,Released
8488,Hitch,en,Released
8489,Ali,en,Released
8536,Superman II,en,Released
8545,Little Voice,en,Released
8584,Shanghai Noon,en,Released
8587,The Lion King,en,Released
8592,Dick Tracy,en,Released
8617,Prom Night,en,Released
8618,The History Boys,en,Released
8619,Master and Commander: The Far Side of the World,en,Released
8643,The Exorcism of Emily Rose,en,Released
8645,The Happening,en,Released
8649,Bringing Out the Dead,en,Released
8656,Deep Impact,en,Released
8665,K-19: The Widowmaker,en,Released
8669,Charlie Bartlett,en,Released
8675,Orgazmo,en,Released
8676,Fool's Gold,en,Released
8681,Taken,en,Released
8688,Snake Eyes,en,Released
8698,The League of Extraordinary Gentlemen,en,Released
8699,Anchorman: The Legend of Ron Burgundy,en,Released
8741,The Thin Red Line,en,Released
8744,Albino Alligator,en,Released
8780,Baby Mama,en,Released
8810,Mad Max 2: The Road Warrior,en,Released
8814,Doom,en,Released
8818,Evita,en,Released
8831,Timecop,en,Released
8834,Conspiracy Theory,en,Released
8835,Legally Blonde,en,Released
8836,The X Files: I Want to Believe,en,Released
8838,Mercury Rising,en,Released
8839,Casper,en,Released
8840,DragonHeart,en,Released
8841,The Class,fr,Released
8842,Against the Ropes,en,Released
8843,The Cell,en,Released
8847,Standard Operating Procedure,en,Released
8848,The Bank Job,en,Released
8849,Alfie,en,Released
8850,The Shadow,en,Released
8854,Steel,en,Released
8859,"Dude, Where’s My Car?",en,Released
8869,Eight Legged Freaks,en,Released
8870,Red Planet,en,Released
8871,How the Grinch Stole Christmas,en,Released
8872,Wayne's World,en,Released
8874,My Best Friend's Wedding,en,Released
8875,Timber Falls,en,Released
8879,Pale Rider,en,Released
8883,Flame & Citron,da,Released
8885,Waltz with Bashir,he,Released
8909,Wanted,en,Released
8913,Pet Sematary,en,Released
8914,Deep Blue Sea,en,Released
8916,Antz,en,Released
8920,Garfield,en,Released
8922,Jeepers Creepers,en,Released
8942,Wendy and Lucy,en,Released
8944,What Just Happened,en,Released
8952,I Love You Phillip Morris,en,Released
8953,Steamboy,ja,Released
8960,Hancock,en,Released
8961,Bad Boys II,en,Released
8963,Crimson Tide,en,Released
8966,Twilight,en,Released
8967,The Tree of Life,en,Released
8968,Boogeyman,en,Released
8970,The Out-of-Towners,en,Released
8975,The Marine,en,Released
8976,A Lot Like Love,en,Released
8978,Assault on Precinct 13,en,Released
8981,Dear Frankie,en,Released
8982,The Protector,th,Released
8984,Disclosure,en,Released
8987,The River Wild,en,Released
8988,Stop-Loss,en,Released
8998,Friends with Money,en,Released
8999,Derailed,en,Released
9003,Hellraiser,en,Released
9007,Just Like Heaven,en,Released
9008,The Insider,en,Released
9009,Dark Water,en,Released
9012,Jackass: The Movie,en,Released
9013,Midnight Run,en,Released
9016,Treasure Planet,en,Released
9021,The Santa Clause 2,en,Released
9022,All the Boys Love Mandy Lane,en,Released
9023,Spirit: Stallion of the Cimarron,en,Released
9026,The Importance of Being Earnest,en,Released
9027,The Guru,en,Released
9029,What Happens in Vegas,da,Released
9030,The Eye,en,Released
9032,Big Daddy,en,Released
9034,The Banger Sisters,en,Released
9035,Slither,en,Released
9036,Eight Below,en,Released
9042,The Cave,en,Released
9043,The Family Stone,en,Released
9045,Amen.,fr,Released
9053,DOA: Dead or Alive,en,Released
9059,Tales from the Crypt: Demon Knight,en,Released
9067,Tank Girl,en,Released
9072,Little Man,en,Released
9074,The Man,en,Released
9075,Black Book,nl,Released
9087,The American President,en,Released
9089,Home for the Holidays,en,Released
9092,Snow White: A Tale of Terror,en,Released
9093,The Four Feathers,en,Released
9095,Mary Reilly,en,Released
9096,Medicine Man,en,Released
9099,Sgt. Bilko,en,Released
9100,The Craft,en,Released
9104,Buffalo Soldiers,en,Released
9208,Broken Arrow,en,Released
9257,S.W.A.T.,en,Released
9260,Welcome to Collinwood,en,Released
9266,Blue Crush,en,Released
9268,Eraser,en,Released
9271,Virtuosity,en,Released
9273,Ace Ventura: When Nature Calls,en,Released
9275,Death to Smoochy,en,Released
9276,The Faculty,en,Released
9277,The Sting,en,Released
9279,Jingle All the Way,en,Released
9280,Femme Fatale,en,Released
9281,Witness,en,Released
9282,11:14,en,Released
9285,Road Trip,en,Released
9286,Final Destination 3,en,Released
9288,Dungeons & Dragons: Wrath of the Dragon God,en,Released
9289,The Longest Day,en,Released
9290,Crocodile Dundee in Los Angeles,en,Released
9291,The Longest Yard,en,Released
9292,Hudson Hawk,en,Released
9294,Phenomenon,en,Released
9297,Monster House,en,Released
9302,Up Close & Personal,en,Released
9303,Bound,en,Released
9304,Multiplicity,en,Released
9306,The Island of Dr. Moreau,en,Released
9310,American Dreamz,en,Released
9311,Smilla's Sense of Snow,en,Released
9312,Mortal Kombat,en,Released
9313,The Man in the Iron Mask,en,Released
9315,Flightplan,en,Released
9327,The Nutty Professor,en,Released
9331,Clear and Present Danger,en,Released
9334,The Scorpion King,en,Released
9335,Transporter 2,en,Released
9336,Police Academy,en,Released
9339,Click,en,Released
9341,The Core,en,Released
9342,The Mask of Zorro,en,Released
9344,Kids,en,Released
9348,Species,en,Released
9350,Cliffhanger,en,Released
9352,EuroTrip,en,Released
9353,Nacho Libre,en,Released
9355,Mad Max Beyond Thunderdome,en,Released
9357,One Hour Photo,en,Released
9358,Final Destination 2,en,Released
9360,Anaconda,en,Released
9361,The Last of the Mohicans,en,Released
9362,Tremors,en,Released
9366,Donnie Brasco,en,Released
9367,El Mariachi,es,Released
9372,Super Size Me,en,Released
9374,Death Becomes Her,en,Released
9378,Thir13en Ghosts,en,Released
9381,Babylon A.D.,en,Released
9383,Hollow Man,en,Released
9384,Starsky & Hutch,en,Released
9387,Conan the Barbarian,en,Released
9388,Thank You for Smoking,en,Released
9389,Renaissance,fr,Released
9390,Jerry Maguire,en,Released
9392,The Descent,en,Released
9396,Crocodile Dundee II,en,Released
9398,Zoolander,en,Released
9400,Set It Off,en,Released
9408,Surf's Up,en,Released
9414,The Man Who Knew Too Little,en,Released
9416,Money Talks,en,Released
9422,A Civil Action,en,Released
9424,Disturbing Behavior,en,Released
9425,Soldier,en,Released
9427,The Full Monty,en,Released
9428,The Royal Tenenbaums,en,Released
9429,A Night at the Roxbury,en,Released
9430,Go,en,Released
9433,The Edge,en,Released
9434,Grosse Pointe Blank,en,Released
9437,Kiss the Girls,en,Released
9440,Primary Colors,en,Released
9441,Stepmom,en,Released
9443,Chariots of Fire,en,Released
9444,Anastasia,en,Released
9447,Babe: Pig in the City,en,Released
9448,The Big Hit,en,Released
9449,The Borrowers,en,Released
9451,Election,en,Released
9452,Bulworth,en,Released
9454,Ever After: A Cinderella Story,en,Released
9455,The Corruptor,en,Released
9457,Deep Rising,en,Released
9459,Woodstock,en,Released
9464,Buffalo '66,en,Released
9466,Celebrity,en,Released
9469,He Got Game,en,Released
9470,Kung Fu Hustle,cn,Released
9471,Charlie's Angels: Full Throttle,en,Released
9472,DodgeBall: A True Underdog Story,en,Released
9473,"South Park: Bigger, Longer & Uncut",en,Released
9476,A Knight's Tale,en,Released
9481,The Bone Collector,en,Released
9486,Johnny English,en,Released
9487,A Bug's Life,en,Released
9488,Spy Kids 2: The Island of Lost Dreams,en,Released
9489,You've Got Mail,en,Released
9490,Half Baked,en,Released
9493,Twins,en,Released
9495,The Crow,en,Released
9502,Kung Fu Panda,en,Released
9504,Glengarry Glen Ross,en,Released
9509,Man on Fire,en,Released
9513,Garfield: A Tail of Two Kitties,en,Released
9515,The Matador,en,Released
9516,Menace II Society,en,Released
9517,Bully,en,Released
9526,A Prairie Home Companion,en,Released
9531,Superman III,en,Released
9532,Final Destination,en,Released
9533,Red Dragon,en,Released
9535,Analyze This,en,Released
9541,Jersey Girl,en,Released
9543,Prince of Persia: The Sands of Time,en,Released
9544,FearDotCom,en,Released
9548,The Adventures of Ford Fairlane,en,Released
9549,The Right Stuff,en,Released
9550,House of Flying Daggers,zh,Released
9552,The Exorcist,en,Released
9555,Rabbit-Proof Fence,en,Released
9557,Boat Trip,en,Released
9562,Timeline,en,Released
9563,Any Given Sunday,en,Released
9566,The Fan,en,Released
9567,Tears of the Sun,en,Released
9570,The Black Hole,en,Released
9571,Dazed and Confused,en,Released
9573,Blood Work,en,Released
9574,Flubber,en,Released
9576,Tootsie,en,Released
9582,A Guy Thing,en,Released
9583,Divine Secrets of the Ya-Ya Sisterhood,en,Released
9587,Little Women,en,Released
9588,Quigley Down Under,en,Released
9591,That Thing You Do!,en,Released
9593,Last Action Hero,en,Released
9594,Double Impact,en,Released
9598,Babe,en,Released
9600,Big Momma's House,en,Released
9603,Clueless,en,Released
9607,Super Mario Bros.,en,Released
9610,Conan the Destroyer,en,Released
9613,Spider,en,Released
9614,Happy Gilmore,en,Released
9615,The Fast and the Furious: Tokyo Drift,en,Released
9616,The Order,en,Released
9618,Tango & Cash,en,Released
9619,Dante's Peak,en,Released
9620,Paycheck,en,Released
9621,Elizabethtown,en,Released
9623,The Juror,en,Released
9624,On Deadly Ground,en,Released
9625,The Glimmer Man,en,Released
9626,Red Sonja,en,Released
9631,The Negotiator,en,Released
9637,Scooby-Doo,en,Released
9641,Cheaper by the Dozen 2,en,Released
9644,National Lampoon's Loaded Weapon 1,en,Released
9645,Ghost Ship,en,Released
9647,Scrooged,en,Released
9654,The Italian Job,en,Released
9655,She's the Man,en,Released
9656,Black Christmas,en,Released
9659,Mad Max,en,Released
9662,The Triplets of Belleville,fr,Released
9664,Flyboys,en,Released
9665,Glory,en,Released
9667,The Jacket,en,Released
9671,Crocodile Dundee,en,Released
9672,Infamous,en,Released
9675,Sideways,en,Released
9676,The Black Dahlia,en,Released
9678,Little Nicky,en,Released
9679,Gone in Sixty Seconds,en,Released
9682,Pulse,en,Released
9683,Bubble Boy,en,Released
9685,Igby Goes Down,en,Released
9686,New York Stories,en,Released
9689,Hollywood Ending,en,Released
9691,Assassins,en,Released
9693,Children of Men,en,Released
9697,Lady in the Water,en,Released
9700,The Lost City,en,Released
9701,North Country,en,Released
9702,Bound by Honor,en,Released
9703,The Last Legion,en,Released
9705,Swordfish,en,Released
9707,Bubba Ho-tep,en,Released
9709,My Summer of Love,en,Released
9713,Holy Man,en,Released
9715,Hope Floats,en,Released
9716,Everyone Says I Love You,en,Released
9718,Talladega Nights: The Ballad of Ricky Bobby,en,Released
9725,Friday the 13th Part 2,en,Released
9726,A Good Year,en,Released
9728,Friday the 13th Part III,en,Released
9729,Where the Truth Lies,en,Released
9730,Friday the 13th: The Final Chapter,en,Released
9731,Friday the 13th: A New Beginning,en,Released
9737,Bad Boys,en,Released
9741,Unbreakable,en,Released
9746,Kundun,en,Released
9754,Firewall,en,Released
9759,Cellular,en,Released
9760,Epic Movie,en,Released
9762,Step Up,en,Released
9763,Goal!: The Dream Begins,en,Released
9766,Gridiron Gang,en,Released
9767,The Break-Up,en,Released
9770,Mad City,en,Released
9772,Air Force One,en,Released
9776,Head of State,en,Released
9778,Serendipity,en,Released
9779,The Sisterhood of the Traveling Pants,en,Released
9781,Detroit Rock City,en,Released
9782,The Night Listener,en,Released
9783,Sublime,en,Released
9787,Lords of Dogtown,en,Released
9792,The Hills Have Eyes,en,Released
9793,The Hills Have Eyes 2,en,Released
9794,Employee of the Month,en,Released
9798,Enemy of the State,en,Released
9799,The Fast and the Furious,en,Released
9800,Philadelphia,en,Released
9801,Bridget Jones: The Edge of Reason,en,Released
9802,The Rock,en,Released
9804,Waterworld,en,Released
9806,The Incredibles,en,Released
9809,Let's Go to Prison,en,Released
9813,The Quiet,en,Released
9816,Save the Last Dance,en,Released
9819,Marvin's Room,en,Released
9821,The Mighty,en,Released
9822,Mighty Joe Young,en,Released
9823,Mortal Kombat: Annihilation,en,Released
9824,Mystery Men,en,Released
9825,Lake Placid,en,Released
9826,The Phantom,en,Released
9829,United 93,en,Released
9833,The Phantom of the Opera,en,Released
9836,Happy Feet,en,Released
9837,The Prince of Egypt,en,Released
9839,Beyond Borders,en,Released
9842,School for Scoundrels,en,Released
9849,My Favorite Martian,en,Released
9869,Patriot Games,en,Released
9870,Forgetting Sarah Marshall,en,Released
9877,Urban Legend,en,Released
9879,Striptease,en,Released
9880,The Princess Diaries,en,Released
9882,The Siege,en,Released
9884,Collateral Damage,en,Released
9889,Shallow Hal,en,Released
9890,The Stepford Wives,en,Released
9893,Sleepover,en,Released
9894,The Cable Guy,en,Released
9895,Man of the Year,en,Released
9896,Rat Race,en,Released
9899,The Producers,en,Released
9900,Grandma's Boy,en,Released
9902,Wrong Turn,en,Released
9903,The Hoax,en,Released
9906,The Ant Bully,en,Released
9907,Barnyard,en,Released
9912,The World's Fastest Indian,en,Released
9913,The Skeleton Key,en,Released
9916,The Last Sin Eater,en,Released
9918,Glory Road,en,Released
9919,How to Lose a Guy in 10 Days,en,Released
9920,Ultraviolet,en,Released
9922,The Postman,en,Released
9923,Domino,en,Released
9928,Robots,en,Released
9930,Legal Eagles,en,Released
9932,Analyze That,en,Released
9942,Major League,en,Released
9944,The Pelican Brief,en,Released
9945,Vampires,en,Released
9946,End of Days,en,Released
9947,Elektra,en,Released
9950,Find Me Guilty,en,Released
9952,Rescue Dawn,en,Released
9954,The Covenant,en,Released
9955,Blades of Glory,en,Released
9957,The Benchwarmers,en,Released
9962,The Good Girl,en,Released
9963,Premonition,en,Released
9969,Deck the Halls,en,Released
9975,Curious George,en,Released
9978,Stormbreaker,en,Released
9981,Kicking & Screaming,en,Released
9982,Chicken Little,en,Released
9986,Charlotte's Web,en,Released
9988,Beerfest,en,Released
9989,Antitrust,en,Released
9991,Mean Machine,en,Released
9992,Arthur and the Invisibles,en,Released
10003,The Saint,en,Released
10008,An American Haunting,en,Released
10012,Cursed,en,Released
10013,Peggy Sue Got Married,en,Released
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,en,Released
10016,Ghosts of Mars,en,Released
10017,The Wraith,en,Released
10022,The Pacifier,en,Released
10024,My Sister's Keeper,en,Released
10025,Just My Luck,en,Released
10027,Unleashed,en,Released
10028,Honey,en,Released
10029,Very Bad Things,en,Released
10030,Good Luck Chuck,en,Released
10034,High Heels and Low Lifes,en,Released
10040,Miss Congeniality 2: Armed and Fabulous,en,Released
10045,District B13,fr,Released
10047,The Messenger: The Story of Joan of Arc,fr,Released
10048,Stealth,en,Released
10050,Get Over It,en,Released
10052,Dragonfly,en,Released
10053,When a Stranger Calls,en,Released
10054,Spy Kids,en,Released
10060,Get Rich or Die Tryin',en,Released
10061,Escape from L.A.,en,Released
10065,The Amityville Horror,en,Released
10066,House of Wax,en,Released
10067,The Shaggy Dog,en,Released
10068,Nine 1/2 Weeks,en,Released
10069,Stay Alive,en,Released
10070,Feast,en,Released
10071,The Brothers Solomon,en,Released
10072,A Nightmare on Elm Street 3: Dream Warriors,en,Released
10073,Date Movie,en,Released
10074,Hot Rod,en,Released
10075,Blood and Chocolate,en,Released
10077,A Sound of Thunder,en,Released
10090,Reno 911!: Miami,en,Released
10092,Cry_Wolf,en,Released
10096,13 Going on 30,en,Released
10105,Saints and Soldiers,en,Released
10115,Stick It,en,Released
10117,Action Jackson,en,Released
10131,A Nightmare on Elm Street 4: The Dream Master,en,Released
10132,Talk Radio,en,Released
10133,Cypher,en,Released
10135,Road House,en,Released
10136,The Golden Child,en,Released
10137,Stuart Little,en,Released
10138,Iron Man 2,en,Released
10139,Milk,en,Released
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,en,Released
10147,Bad Santa,en,Released
10152,Dumb and Dumberer: When Harry Met Lloyd,en,Released
10153,Sphere,en,Released
10154,Mickey Blue Eyes,en,Released
10156,History of the World: Part I,en,Released
10159,The Rundown,en,Released
10160,A Nightmare on Elm Street 5: The Dream Child,en,Released
10162,Waking Ned,en,Released
10163,The Lawnmower Man,en,Released
10167,Half Past Dead,en,Released
10179,The Ice Pirates,en,Released
10183,Frozen River,en,Released
10184,He's Just Not That Into You,en,Released
10185,The Midnight Meat Train,en,Released
10186,The Rocker,en,Released
10187,Swing Vote,en,Released
10188,The Sisterhood of the Traveling Pants 2,en,Released
10189,Pineapple Express,en,Released
10191,How to Train Your Dragon,en,Released
10192,Shrek Forever After,en,Released
10193,Toy Story 3,en,Released
10195,Thor,en,Released
10196,The Last Airbender,en,Released
10197,Nine,en,Released
10198,The Princess and the Frog,en,Released
10199,The Tale of Despereaux,en,Released
10200,The Day the Earth Stood Still,en,Released
10201,Yes Man,en,Released
10202,Bedtime Stories,en,Released
10204,Around the World in 80 Days,en,Released
10207,Message in a Bottle,en,Released
10208,Muppets from Space,en,Released
10212,Ravenous,en,Released
10214,Son of the Mask,en,Released
10215,Sliding Doors,en,Released
10217,The Sweet Hereafter,en,Released
10218,Swingers,en,Released
10219,Snow Falling on Cedars,en,Released
10220,Rounders,en,Released
10223,A Simple Plan,en,Released
10225,Friday the 13th Part VI: Jason Lives,en,Released
10226,High Tension,fr,Released
10229,A Walk to Remember,en,Released
10238,Cries and Whispers,sv,Released
10246,Porky's,en,Released
10253,Dragon Wars: D-War,ko,Released
10269,Yentl,en,Released
10279,Summer of Sam,en,Released
10280,Thinner,en,Released
10281,Friday the 13th Part VII: The New Blood,en,Released
10283,Friday the 13th Part VIII: Jason Takes Manhattan,en,Released
10285,Jason Goes to Hell: The Final Friday,en,Released
10288,Fido,en,Released
10306,Poltergeist III,en,Released
10307,Stigmata,en,Released
10312,Patch Adams,en,Released
10313,The Men Who Stare at Goats,en,Released
10314,She's All That,en,Released
10315,Fantastic Mr. Fox,en,Released
10316,The Ides of March,en,Released
10317,Our Brand Is Crisis,en,Released
10320,The Ring Two,en,Released
10327,"Legally Blonde 2: Red, White & Blonde",en,Released
10329,Congo,en,Released
10330,Freaky Friday,en,Released
10331,Night of the Living Dead,en,Released
10333,The Prince of Tides,en,Released
10336,Spawn,en,Released
10339,Moby Dick,en,Released
10350,Wing Commander,en,Released
10353,The Visitors II: The Corridors of Time,fr,Released
10357,Volcano,en,Released
10358,Zack and Miri Make a Porno,en,Released
10362,Two Lovers,en,Released
10364,Catch-22,en,Released
10366,Universal Soldier: The Return,en,Released
10368,Tea with Mussolini,en,Released
10375,D-Tox,en,Released
10377,My Cousin Vinny,en,Released
10383,Lost Souls,en,Released
10384,Supernova,en,Released
10385,Hanging Up,en,Released
10386,The Iron Giant,en,Released
10388,The Limey,en,Released
10390,For Love of the Game,en,Released
10391,Bless the Child,en,Released
10393,The Replacements,en,Released
10395,Wolf,en,Released
10397,Angela's Ashes,en,Released
10398,Double Jeopardy,en,Released
10400,The Hurricane,en,Released
10402,Deuce Bigalow: Male Gigolo,en,Released
10410,Hoffa,en,Released
10413,Nowhere to Run,en,Released
10414,The Mighty Ducks,en,Released
10416,What Planet Are You From?,en,Released
10425,The Death and Life of Bobby Z,en,Released
10426,Friday After Next,en,Released
10428,Hackers,en,Released
10431,War,en,Released
10436,The Age of Innocence,en,Released
10437,The Muppet Christmas Carol,en,Released
10439,Hocus Pocus,en,Released
10445,Shadowlands,en,Released
10448,Rapa Nui,en,Released
10461,Get Carter,en,Released
10468,28 Days,en,Released
10471,Next Friday,en,Released
10472,Down to You,en,Released
10476,Hustle & Flow,en,Released
10477,Driven,en,Released
10478,Tin Cup,en,Released
10480,Nurse Betty,en,Released
10481,102 Dalmatians,en,Released
10483,Death Race,en,Released
10488,Nim's Island,en,Released
10490,Drop Dead Gorgeous,en,Released
10496,Bats,en,Released
10501,The Road to El Dorado,en,Released
